datetime	ph	nitrates	silicates	matieres	deltan	deltac	temperature	salinite	oxygene	ammonium	nitrites	phosphates	carbone	azote	chlorophylle
1998-03-01 00:00:00							10.6	33.9	6.68	1.16	0.02	0.08	336	52	0.45
1998-04-01 00:00:00		14.3	4.075				11.275	33.585	6.31	0.835	0.225	0.1275	225.65	32.825	0.606666666666667
1998-05-01 00:00:00		6.62	2.2				13.52	34.51	6.736	0.736	0.232	0.05	452.28	58.58	2.642
1998-06-01 00:00:00		2.325	1.1				15.85	34.5225	5.9775	0.9025	0.135	0.0125	381.3	44.025	1.7025
1998-07-01 00:00:00		0.9	1.9				16.1	34.77	5.88666666666667	1.03333333333333	0.073333333333333	0.006666666666667	252.033333333333	29.3	1.30666666666667
1998-08-01 00:00:00		0.2	3.725				16.675	35.025	6.07	0.365	0.035	0.015	257.6	26.475	1.625
1998-09-01 00:00:00		1.5	4.625				16.45	35.26	5.615	0.7825	0.0425	0.02	183.65	22.5	1.285
1998-10-01 00:00:00		4.62	5.92				14.98	35.064	5.58	1.662	0.128	0.046	125.6	12.62	0.658
1998-11-01 00:00:00		19.15	8.6				12.2	34.3025	5.89666666666667	1.5875	0.6175	0.1825	98.375	11.025	0.425
1998-12-01 00:00:00		23.275	8.525				10.85	34.0125	6.2375	1.6725	0.68	0.3875	145.775	18.225	0.38
1999-01-01 00:00:00		27.8	8.7				10.4333333333333	34.02	6.39333333333333	1.03	0.37	0.44	262.233333333333	32	0.426666666666667
1999-02-01 00:00:00		24.2	7.75				10.2	34.525	6.315	1.0275	0.38	0.205	118.675	16.75	0.5175
1999-03-01 00:00:00		18.925	5.5				10.4	34.2933333333333	6.53	0.655	0.1325	0.14	176	28.95	1.41
1999-04-01 00:00:00		8.85	2.225				11.7	34.34	6.495	0.82	0.1425	0.06	250.3	36.4	2.2
1999-05-01 00:00:00		5.6	1.35				13.975	34.2375	6.345	0.8075	0.18	0	270.15	39.45	2.465
1999-06-01 00:00:00		1.975	0.6				15.6	34.5325	6.1725	0.925	0.115	0	271.7	36.6	1.7075
1999-07-01 00:00:00		0.85	1.75				16.975	34.8575	6.125	0.5375	0.0225	0.0175	392.625	50.125	1.9225
1999-08-01 00:00:00		0.15	2.3				17.8	34.87	5.56	0.53	0.03	0.095	268.9	38.5	1.235
1999-09-01 00:00:00		0.375	3.325				17.55	35.155	5.435	1.0225	0.035	0.035	200.775	26.75	1.0225
1999-10-01 00:00:00		3.82	5				15.8	34.97	5.444	1.266	0.216	0.272	197.5	28.18	0.752
1999-11-01 00:00:00		12.5	6.425				13.375	34.52	5.6875	1.6525	0.52	0.1975	154.025	14.675	0.5575
1999-12-01 00:00:00		17.2666666666667	7.2				11.2333333333333	33.92	6.04	1.37	1.26	0.19	175.25	10.35	0.396666666666667
2000-01-01 00:00:00		36.4	10.925				9.925	33.07	6.2925	1.4725	0.4975	0.3625	201.825	17.075	0.405
2000-02-01 00:00:00		27.6	10.425				9.575	33.29	6.4325	1.23	0.355	0.525	187.575	14.65	0.44
2000-03-01 00:00:00		20.7	6.6				10.575	33.945	6.6975	0.76	0.2575	0.455	157.075	14.3	0.835
2000-04-01 00:00:00		18.075	3.875				10.725	34.345	6.585	0.555	0.1775	0.1825	225.8	24.975	1.6975
2000-05-01 00:00:00		12.56	1.62				13.16	33.734	6.326	1.17	0.202	0.062	221.68	29.34	2.048
2000-06-01 00:00:00		5.175	1.25				15.025	34.1425	6.3	0.8775	0.24	0.02	240.9	36.8	1.9475
2000-07-01 00:00:00		0.9	0.475				16.05	34.89	6.105	0.65	0.0925	0.0325	216.375	34.85	1.93
2000-08-01 00:00:00		1.05	3.25				16.75	35.285	5.7775	0.8125	0.093333333333333	0.1125	203.9	32.25	1.3425
2000-09-01 00:00:00		1.9	4.05				16.8	35.205	5.52666666666667	1.3525	0.155	0.1775	181.1	28.225	1.43
2000-10-01 00:00:00		7.24	7				14.84	35.014	5.49	1.924	0.47	0.414	186.34	22.84	0.694
2000-11-01 00:00:00		22.075	10.2725				11.875	33.975	5.885	1.5625	0.61	0.483333333333333	179.225	18.5	0.425
2000-12-01 00:00:00		28.2333333333333	12.6033333333333				11.3	33.1366666666667	5.99666666666667	0.963333333333333	0.425	0.445	201.833333333333	20.6	0.39
2001-01-01 00:00:00		32.95	15.2775				10.1	32.41	6.22	0.6825	0.345	0.465	283.1	25.2	0.4025
2001-02-01 00:00:00		29.6333333333333	12.7366666666667				10.5666666666667	32.76	6.28666666666667	0.876666666666667	0.343333333333333	0.396666666666667	198.733333333333	17.9666666666667	0.53
2001-03-01 00:00:00		21.64	7.024				10.6	33.498	6.246	1.114	0.283333333333333	0.256	167.26	20.32	0.704
2001-04-01 00:00:00		14.75	4.2675				11.8	33.7225	6.225	0.95		0.15	161.3	22.525	1.18
2001-05-01 00:00:00		4.0575	1.3				13.275	34.305	6.8025	0.97	0.11	0.04	415.725	58.475	3.83
2001-06-01 00:00:00		0.6075	1.3075				15.6	34.7075	6.165	0.8075	0.07	0.035	280.825	38.25	2.0125
