"DateTime";"pH (U)";"Nitrates (µmol/l)";"Silicates (µmol/l)";"Matières en Suspension (mg/l)";"Delta N - rapport isotopique";"Delta C - rapport isotopique";"Température (°C)";"Salinité (PSU)";"Oxygène dissous (ml/l)";"Ammonium (µmol/l)";"Nitrites (µmol/l)";"Phosphates (µmol/l)";"Carbone Organique Particulaire (µg/l)";"Azote Organique Particulaire (µg/l)";"Chlorophylle a (µg/l)"
"1998-03-01 00:00:00";;;;;;;10,6;33,9;6,68;1,16;0,02;0,08;336;52;0,45
"1998-04-01 00:00:00";;14,3;4,075;;;;11,275000000000002;33,585;6,31;0,8350000000000001;0,225;0,1275;225,64999999999998;32,825;0,6066666666666666
"1998-05-01 00:00:00";;6,619999999999999;2,2;;;;13,520000000000001;34,51;6,736;0,736;0,23200000000000004;0,05;452,28000000000003;58,58;2,6420000000000003
"1998-06-01 00:00:00";;2,325;1,1;;;;15,850000000000001;34,522499999999994;5,977499999999999;0,9025000000000001;0,135;0,0125;381,3;44,025;1,7025000000000001
"1998-07-01 00:00:00";;0,9;1,9000000000000001;;;;16,099999999999998;34,77;5,886666666666666;1,0333333333333332;0,07333333333333333;0,006666666666666667;252,03333333333333;29,3;1,3066666666666666
"1998-08-01 00:00:00";;0,19999999999999998;3,7249999999999996;;;;16,675;35,025;6,07;0,36500000000000005;0,035;0,015;257,6;26,475;1,625
"1998-09-01 00:00:00";;1,5;4,625;;;;16,45;35,26;5,615;0,7825000000000001;0,0425;0,02;183,64999999999998;22,5;1,285
"1998-10-01 00:00:00";;4,62;5,92;;;;14,98;35,064;5,58;1,6619999999999997;0,128;0,046;125,6;12,620000000000001;0,658
"1998-11-01 00:00:00";;19,15;8,600000000000001;;;;12,2;34,302499999999995;5,896666666666666;1,5875;0,6174999999999999;0,18250000000000002;98,37500000000001;11,025;0,425
"1998-12-01 00:00:00";;23,275;8,525;;;;10,85;34,012499999999996;6,2375;1,6725;0,6799999999999999;0,3875;145,775;18,224999999999998;0,38
"1999-01-01 00:00:00";;27,8;8,7;;;;10,433333333333334;34,02;6,3933333333333335;1,03;0,37000000000000005;0,44;262,23333333333335;32;0,4266666666666667
"1999-02-01 00:00:00";;24,2;7,75;;;;10,2;34,525;6,3149999999999995;1,0275;0,38;0,20500000000000002;118,675;16,75;0,5175000000000001
"1999-03-01 00:00:00";;18,925;5,5;;;;10,4;34,29333333333333;6,529999999999999;0,655;0,1325;0,14;176;28,950000000000003;1,41
"1999-04-01 00:00:00";;8,850000000000001;2,2249999999999996;;;;11,7;34,34;6,495;0,82;0,14250000000000002;0,06;250,29999999999998;36,4;2,2
"1999-05-01 00:00:00";;5,6;1,35;;;;13,975;34,2375;6,345;0,8075000000000001;0,18000000000000002;0;270,15;39,45;2,465
"1999-06-01 00:00:00";;1,9749999999999999;0,6;;;;15,6;34,5325;6,172499999999999;0,925;0,115;0;271,7;36,6;1,7075
"1999-07-01 00:00:00";;0,85;1,75;;;;16,974999999999998;34,8575;6,125;0,5375;0,022500000000000003;0,017499999999999998;392,625;50,125;1,9224999999999999
"1999-08-01 00:00:00";;0,15;2,3;;;;17,8;34,870000000000005;5,56;0,53;0,030000000000000002;0,09500000000000001;268,9;38,5;1,2349999999999999
"1999-09-01 00:00:00";;0,375;3,325;;;;17,549999999999997;35,155;5,435;1,0225;0,035;0,035;200,775;26,75;1,0225
"1999-10-01 00:00:00";;3,8200000000000003;5;;;;15,8;34,970000000000006;5,444000000000001;1,266;0,21600000000000003;0,27199999999999996;197,5;28,18;0,752
